siteID,plot_dist_km,comdis
HARV,10.52898474,0.793715847
HARV,9.239934731,0.949585195
HARV,5.87201094,0.793699815
HARV,8.981476801,0.882376965
HARV,6.881654745,0.972662393
HARV,7.445970155,0.880293921
HARV,9.514045584,0.942525126
HARV,3.156244192,0.910834289
HARV,3.151901714,0.879441239
HARV,1.099017635,0.738543281
HARV,4.934735932,0.662429228
HARV,3.071224495,0.921932367
HARV,0.813109842,0.705711801
HARV,2.771392479,0.855577976
HARV,0.705991542,0.641443539
HARV,1.316864007,0.854923368
HARV,3.383190413,0.875371626
HARV,6.210978177,0.957725351
HARV,2.188256039,0.568953569
HARV,0.844940758,0.40423764
HARV,4.563820834,0.764252272
HARV,0.94325587,0.692449598
HARV,3.063085905,0.847781369
HARV,4.747231651,0.689036286
HARV,2.387964304,0.433217189
HARV,3.331965796,0.915182755
HARV,3.524815541,0.495486201
HARV,3.346521305,0.770980865
HARV,9.68537971,0.721273152
HARV,3.99407987,0.891607472
HARV,2.940711628,0.820808446
HARV,3.452314551,0.721238938
HARV,0.312663788,0.454796684
HARV,5.193957306,0.491920834
HARV,2.614940544,0.903395505
HARV,0.78653301,0.650575288
HARV,2.529759171,0.646092583
HARV,1.06444864,0.797825706
HARV,0.87133433,0.32059488
HARV,2.862513971,0.792784264
HARV,6.658414504,0.877594591
HARV,0.892615049,0.798701299
HARV,4.256701492,0.615632184
HARV,3.309144744,0.915202445
HARV,3.709215555,0.942439141
HARV,0.343397183,0.763233522
HARV,5.471539851,0.729530322
HARV,3.000095822,0.958140878
HARV,0.410112534,0.788463761
HARV,2.899391698,0.864227362
HARV,1.235788796,0.698366636
HARV,1.244660271,0.870733221
HARV,3.246419886,0.774650659
HARV,6.279137972,0.976887519
HARV,0.817823363,0.573290195
HARV,4.529824965,0.945697488
HARV,0.385210683,0.82200409
HARV,1.29421823,0.649133475
HARV,1.347605812,0.50927398
HARV,2.472543821,0.823850852
HARV,3.030581402,0.732783631
HARV,1.717523194,0.798561151
HARV,2.738148969,0.721488008
HARV,1.048153134,0.604459525
HARV,1.368918928,0.910352188
HARV,1.425991497,0.705987489
HARV,2.097996468,0.749866
HARV,8.186085498,0.611147976
HARV,2.074611473,0.883267297
HARV,2.101956734,0.362839248
HARV,2.170548898,0.73002611
HARV,2.471114566,0.932170776
HARV,6.649038482,0.85148771
HARV,6.950485372,0.849195402
HARV,3.463144594,0.75139747
HARV,8.733296307,0.881824561
HARV,6.222056276,0.908132018
HARV,3.067067257,0.865293865
HARV,6.23742831,0.797107614
HARV,4.469779587,0.920713578
HARV,4.581378885,0.875720165
HARV,6.391816098,0.502996922
HARV,4.031283734,0.911320385
HARV,3.798585181,0.897170076
HARV,7.792253089,0.846440552
HARV,3.713001389,0.906265177
HARV,3.359952483,0.822067259
HARV,5.804989036,0.839574665
HARV,3.551909999,0.826842613
HARV,4.280650481,0.919689506
HARV,0.558284933,0.529681863
HARV,5.996220361,0.641545282
HARV,3.050589909,0.936838124
HARV,1.032311228,0.941235202
HARV,3.144503705,0.836051624
HARV,1.925733263,0.908262163
HARV,1.56194598,0.519244735
HARV,3.214467665,0.515371978
HARV,6.538898909,0.962395917
HARV,1.620764098,0.902392748
HARV,5.067036167,0.865197667
HARV,0.862444897,0.551818611
HARV,0.805837441,0.819395018
HARV,2.966100968,0.842397004
HARV,3.17768334,0.623500207
HARV,1.471292778,0.893489203
HARV,1.158591573,0.93166767
HARV,2.611140344,0.805983282
HARV,2.894106727,0.816753371
HARV,1.962789383,0.868908848
HARV,2.815893595,0.767395055
HARV,1.270474022,0.92481418
HARV,1.411917971,0.73934015
HARV,1.613224082,0.897328881
HARV,2.342072768,0.90929491
HARV,8.135901675,0.988093627
HARV,2.106425552,0.716284987
HARV,1.954426578,0.896866841
HARV,2.30290456,0.841405508
HARV,2.578603952,0.832096558
HARV,0.260712964,0.903927492
HARV,5.879163769,0.984157865
HARV,3.123347559,0.943844945
HARV,2.464957585,0.845528455
HARV,1.605188632,0.858682635
HARV,5.198237142,0.705873471
HARV,0.498076525,0.688920863
HARV,3.337292521,0.873371925
HARV,5.441390518,0.693336305
HARV,2.761330455,0.858626022
HARV,4.032661149,0.71964037
HARV,4.115430626,0.915952214
HARV,3.55589676,0.874624875
HARV,10.47669258,0.968305567
HARV,4.713827863,0.585236249
HARV,0.793163792,0.886341745
HARV,4.898497882,0.849646446
